account_id,account_name,ad_id,ad_name,campaign_id,campaign_name,ad_group_id,ad_group_name,ad_group_status,campaign_objective,country_code,country_name,data_source_name,date,region,action_leadgen_other,action_link_click,action_video_view,clicks,cost,cost_eur,cost_gbp,cost_usd,impressions,onsite_conversion_lead_grouped,reach
3208640299265190,PE_Havas_ClaroPeru_3208640299265190,23849741548110009,DINAMICO SAMSUNG S22_MPD_NATAG_NA_DINAMICO PROMO SAMSUNG S22_25FEB22_28FEB22_199761,23849741497430009,CLARO_CLAT_DINAMICO SAMSUNG S22_CONV_CON_FBIGME_25FEB22_31MAR22_6378_63784300743599001 TVirtual,23849741497460009,DINAMICO SAMSUNG S22_ABI_CPL_NA_DINAMICO SAMSUNG S22_25FEB22_28FEB22_123849,ACTIVE,PRODUCT_CATALOG_SALES,PE,Peru,Facebook Ads,2022-06-08,Huancavelica Region,,2,0,5,0.41,0.3826,0.327,0.41,576,0,352
3208640299265190,PE_Havas_ClaroPeru_3208640299265190,23849741548110009,DINAMICO SAMSUNG S22_MPD_NATAG_NA_DINAMICO PROMO SAMSUNG S22_25FEB22_28FEB22_199761,23849741497430009,CLARO_CLAT_DINAMICO SAMSUNG S22_CONV_CON_FBIGME_25FEB22_31MAR22_6378_63784300743599001 TVirtual,23849741497460009,DINAMICO SAMSUNG S22_ABI_CPL_NA_DINAMICO SAMSUNG S22_25FEB22_28FEB22_123849,ACTIVE,PRODUCT_CATALOG_SALES,PE,Peru,Facebook Ads,2022-06-08,Huánuco Region,,18,0,31,3.02,2.8178,2.4085,3.02,2274,0,1456
3208640299265190,PE_Havas_ClaroPeru_3208640299265190,23849741548110009,DINAMICO SAMSUNG S22_MPD_NATAG_NA_DINAMICO PROMO SAMSUNG S22_25FEB22_28FEB22_199761,23849741497430009,CLARO_CLAT_DINAMICO SAMSUNG S22_CONV_CON_FBIGME_25FEB22_31MAR22_6378_63784300743599001 TVirtual,23849741497460009,DINAMICO SAMSUNG S22_ABI_CPL_NA_DINAMICO SAMSUNG S22_25FEB22_28FEB22_123849,ACTIVE,PRODUCT_CATALOG_SALES,PE,Peru,Facebook Ads,2022-06-08,Ica Region,,44,0,58,4.75,4.432,3.7882,4.75,3787,0,2352
3208640299265190,PE_Havas_ClaroPeru_3208640299265190,23849741548110009,DINAMICO SAMSUNG S22_MPD_NATAG_NA_DINAMICO PROMO SAMSUNG S22_25FEB22_28FEB22_199761,23849741497430009,CLARO_CLAT_DINAMICO SAMSUNG S22_CONV_CON_FBIGME_25FEB22_31MAR22_6378_63784300743599001 TVirtual,23849741497460009,DINAMICO SAMSUNG S22_ABI_CPL_NA_DINAMICO SAMSUNG S22_25FEB22_28FEB22_123849,ACTIVE,PRODUCT_CATALOG_SALES,PE,Peru,Facebook Ads,2022-06-08,Junín Region,,49,0,68,5.56,5.1878,4.4342,5.56,5073,0,3680
3208640299265190,PE_Havas_ClaroPeru_3208640299265190,23849741548110009,DINAMICO SAMSUNG S22_MPD_NATAG_NA_DINAMICO PROMO SAMSUNG S22_25FEB22_28FEB22_199761,23849741497430009,CLARO_CLAT_DINAMICO SAMSUNG S22_CONV_CON_FBIGME_25FEB22_31MAR22_6378_63784300743599001 TVirtual,23849741497460009,DINAMICO SAMSUNG S22_ABI_CPL_NA_DINAMICO SAMSUNG S22_25FEB22_28FEB22_123849,ACTIVE,PRODUCT_CATALOG_SALES,PE,Peru,Facebook Ads,2022-06-08,La Libertad Region,,68,0,106,9.8,9.1439,7.8156,9.8,5817,0,3824
3208640299265190,PE_Havas_ClaroPeru_3208640299265190,23849741548110009,DINAMICO SAMSUNG S22_MPD_NATAG_NA_DINAMICO PROMO SAMSUNG S22_25FEB22_28FEB22_199761,23849741497430009,CLARO_CLAT_DINAMICO SAMSUNG S22_CONV_CON_FBIGME_25FEB22_31MAR22_6378_63784300743599001 TVirtual,23849741497460009,DINAMICO SAMSUNG S22_ABI_CPL_NA_DINAMICO SAMSUNG S22_25FEB22_28FEB22_123849,ACTIVE,PRODUCT_CATALOG_SALES,PE,Peru,Facebook Ads,2022-06-08,Lambayeque Region,,27,0,48,5.21,4.8612,4.155,5.21,3635,0,2272
3208640299265190,PE_Havas_ClaroPeru_3208640299265190,23849741548110009,DINAMICO SAMSUNG S22_MPD_NATAG_NA_DINAMICO PROMO SAMSUNG S22_25FEB22_28FEB22_199761,23849741497430009,CLARO_CLAT_DINAMICO SAMSUNG S22_CONV_CON_FBIGME_25FEB22_31MAR22_6378_63784300743599001 TVirtual,23849741497460009,DINAMICO SAMSUNG S22_ABI_CPL_NA_DINAMICO SAMSUNG S22_25FEB22_28FEB22_123849,ACTIVE,PRODUCT_CATALOG_SALES,PE,Peru,Facebook Ads,2022-06-08,Lima Region,,405,0,577,75.57,70.5108,60.2679,75.57,40300,0,26496
3208640299265190,PE_Havas_ClaroPeru_3208640299265190,23849741548110009,DINAMICO SAMSUNG S22_MPD_NATAG_NA_DINAMICO PROMO SAMSUNG S22_25FEB22_28FEB22_199761,23849741497430009,CLARO_CLAT_DINAMICO SAMSUNG S22_CONV_CON_FBIGME_25FEB22_31MAR22_6378_63784300743599001 TVirtual,23849741497460009,DINAMICO SAMSUNG S22_ABI_CPL_NA_DINAMICO SAMSUNG S22_25FEB22_28FEB22_123849,ACTIVE,PRODUCT_CATALOG_SALES,PE,Peru,Facebook Ads,2022-06-08,Loreto Region,,21,0,36,3.16,2.9484,2.5201,3.16,2492,0,1968
3208640299265190,PE_Havas_ClaroPeru_3208640299265190,23849741548110009,DINAMICO SAMSUNG S22_MPD_NATAG_NA_DINAMICO PROMO SAMSUNG S22_25FEB22_28FEB22_199761,23849741497430009,CLARO_CLAT_DINAMICO SAMSUNG S22_CONV_CON_FBIGME_25FEB22_31MAR22_6378_63784300743599001 TVirtual,23849741497460009,DINAMICO SAMSUNG S22_ABI_CPL_NA_DINAMICO SAMSUNG S22_25FEB22_28FEB22_123849,ACTIVE,PRODUCT_CATALOG_SALES,PE,Peru,Facebook Ads,2022-06-08,Madre de Dios Region,,12,0,24,1.43,1.3343,1.1404,1.43,1236,0,944
3208640299265190,PE_Havas_ClaroPeru_3208640299265190,23849741548110009,DINAMICO SAMSUNG S22_MPD_NATAG_NA_DINAMICO PROMO SAMSUNG S22_25FEB22_28FEB22_199761,23849741497430009,CLARO_CLAT_DINAMICO SAMSUNG S22_CONV_CON_FBIGME_25FEB22_31MAR22_6378_63784300743599001 TVirtual,23849741497460009,DINAMICO SAMSUNG S22_ABI_CPL_NA_DINAMICO SAMSUNG S22_25FEB22_28FEB22_123849,ACTIVE,PRODUCT_CATALOG_SALES,PE,Peru,Facebook Ads,2022-06-08,Moquegua Region,,11,0,13,1.28,1.1943,1.0208,1.28,899,0,432
