account_name,account_id,advertiser,advertiser_currency,advertiser_id,advertiser_status,account_time_zone,campaign_name,campaign_id,creative_id,data_source_name,date,floodlight_activity,insertion_order,insertion_order_id,insertion_order_status,line_item,line_item_id,line_item_status,line_item_type,partner,partner_currency,partner_id,partner_status,active_view_distribution_viewable,active_view_viewable_impressions,billable_cost,billable_cost_advertiser,billable_cost_usd,clicks,cpm_fee_1,cpm_fee_1_advertiser,cpm_fee_1_usd,cpm_fee_2,cpm_fee_2_advertiser,cpm_fee_2_usd,cpm_fee_3,cpm_fee_3_advertiser,cpm_fee_3_usd,cpm_fee_4,cpm_fee_4_advertiser,cpm_fee_4_usd,cpm_fee_5,cpm_fee_5_advertiser,cpm_fee_5_usd,data_cost,data_cost_advertiser,data_cost_usd,impressions,last_clicks,last_impressions,media_cost,media_cost_advertiser,media_cost_usd,media_fee_1,media_fee_2,media_fee_3,media_fee_4,platform_fee,platform_fee_advertiser,platform_fee_usd,post_click_dfa_revenue,post_view_dfa_revenue,profit,profit_advertiser,profit_ecpc_advertiser,profit_usd,revenue,revenue_advertiser,revenue_ecpapv_u_sd,revenue_usd,conversions,total_media_cost,total_media_cost_advertiser,total_media_cost_usd
Advertiser: HMLIM_Havasmedia_Claro,adv_834007197,HMLIM_Havasmedia_Claro,USD,834007197,Active,America/New_York,CLARO | PREPAGO | RECARGA 7 SOLES 5 DIAS - CLICS,52354000,424651588,Google Display & Video 360,2022-06-08,Unknown,CLARO_CLAP_RECARGA_CONS_TRF_DV360_10MAY22_31MAY22_7845_78454300943592001_82064300943592002,28507743,Active,RECARGA_VARSEG_CPC_NA_RECARGA_01JUN22_30JUN22_130538_Inmarket,17253160555,,Real-time bidding,Affiperf Peru,USD,559147,Active,,10230,0.7813,,0.7813,45,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,11076,0,0,0.7135,0.7135,0.7135,0.0678,0.0,0.0,0.0,0.0678,,,0.0,0.0,0.0,0.0,0.0,0.0,0.7813,0.7813,,0.7813,0,0.7813,0.7813,0.7813
Advertiser: HMLIM_Havasmedia_Claro,adv_834007197,HMLIM_Havasmedia_Claro,USD,834007197,Active,America/New_York,CLARO | PREPAGO | RECARGA 7 SOLES 5 DIAS - CLICS,52354000,424651688,Google Display & Video 360,2022-06-08,Unknown,CLARO_CLAP_RECARGA_CONS_TRF_DV360_10MAY22_31MAY22_7845_78454300943592001_82064300943592002,28507743,Active,RECARGA_VARSEG_CPC_NA_RECARGA_01JUN22_30JUN22_130538_Inmarket,17253160555,,Real-time bidding,Affiperf Peru,USD,559147,Active,,7425,5.5529,,5.5529,439,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,9297,0,0,5.0711,5.0711,5.0711,0.4818,0.0,0.0,0.0,0.4818,,,0.0,0.0,0.0,0.0,0.0,0.0,5.5529,5.5529,,5.5529,0,5.5529,5.5529,5.5529
Advertiser: HMLIM_Havasmedia_Claro,adv_834007197,HMLIM_Havasmedia_Claro,USD,834007197,Active,America/New_York,CLARO | PREPAGO | RECARGA 7 SOLES 5 DIAS - CLICS,52354000,424651691,Google Display & Video 360,2022-06-08,Unknown,CLARO_CLAP_RECARGA_CONS_TRF_DV360_10MAY22_31MAY22_7845_78454300943592001_82064300943592002,28507743,Active,RECARGA_VARSEG_CPC_NA_RECARGA_01JUN22_30JUN22_130538_Inmarket,17253160555,,Real-time bidding,Affiperf Peru,USD,559147,Active,,12643,1.0482,,1.0482,65,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,13248,0,0,0.9573,0.9573,0.9573,0.0909,0.0,0.0,0.0,0.0909,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0482,1.0482,,1.0482,0,1.0482,1.0482,1.0482
Advertiser: HMLIM_Havasmedia_Claro,adv_834007197,HMLIM_Havasmedia_Claro,USD,834007197,Active,America/New_York,CLARO | PREPAGO | RECARGA 7 SOLES 5 DIAS - CLICS,52354000,424651788,Google Display & Video 360,2022-06-08,Unknown,CLARO_CLAP_RECARGA_CONS_TRF_DV360_10MAY22_31MAY22_7845_78454300943592001_82064300943592002,28507743,Active,RECARGA_VARSEG_CPC_NA_RECARGA_01JUN22_30JUN22_130538_Inmarket,17253160555,,Real-time bidding,Affiperf Peru,USD,559147,Active,,59804,57.2942,,57.2942,4073,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,77600,0,0,52.3235,52.3235,52.3235,4.9707,0.0,0.0,0.0,4.9707,,,0.0,0.0,0.0,0.0,0.0,0.0,57.2942,57.2942,,57.2942,0,57.2942,57.2942,57.2942
Advertiser: HMLIM_Havasmedia_Claro,adv_834007197,HMLIM_Havasmedia_Claro,USD,834007197,Active,America/New_York,CLARO | PREPAGO | RECARGA 7 SOLES 5 DIAS - CLICS,52354000,424481688,Google Display & Video 360,2022-06-08,Unknown,CLARO_CLAP_RECARGA_CONS_TRF_DV360_10MAY22_31MAY22_7845_78454300943592002_82064300943592001,28471557,Active,RECARGA_VARSEG_CPC_NA_RECARGA_01JUN22_30JUN22_130544_Affinity,17233813876,,Real-time bidding,Affiperf Peru,USD,559147,Active,,148411,37.7034,,37.7034,1964,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,157940,0,0,34.4323,34.4323,34.4323,3.2711,0.0,0.0,0.0,3.2711,,,0.0,0.0,0.0,0.0,0.0,0.0,37.7034,37.7034,,37.7034,0,37.7034,37.7034,37.7034
Advertiser: HMLIM_Havasmedia_Claro,adv_834007197,HMLIM_Havasmedia_Claro,USD,834007197,Active,America/New_York,CLARO | PREPAGO | RECARGA 7 SOLES 5 DIAS - CLICS,52354000,424484586,Google Display & Video 360,2022-06-08,Unknown,CLARO_CLAP_RECARGA_CONS_TRF_DV360_10MAY22_31MAY22_7845_78454300943592002_82064300943592001,28471557,Active,RECARGA_VARSEG_CPC_NA_RECARGA_01JUN22_30JUN22_130544_Affinity,17233813876,,Real-time bidding,Affiperf Peru,USD,559147,Active,,370940,87.5902,,87.5902,4217,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,401180,0,0,79.9911,79.9911,79.9911,7.5992,0.0,0.0,0.0,7.5992,,,0.0,0.0,0.0,0.0,0.0,0.0,87.5902,87.5902,,87.5902,0,87.5902,87.5902,87.5902
Advertiser: HMLIM_Havasmedia_Claro,adv_834007197,HMLIM_Havasmedia_Claro,USD,834007197,Active,America/New_York,CLARO | PREPAGO | RECARGA 7 SOLES 5 DIAS - CLICS,52354000,424481688,Google Display & Video 360,2022-06-08,Unknown,CLARO_CLAP_RECARGA_CONS_TRF_DV360_10MAY22_31MAY22_7845_78454300943592002_82064300943592001,28471557,Active,RECARGA_VARSEG_CPC_NA_RECARGA_01JUN22_30JUN22_130544_CATEGORY,17243625488,,Real-time bidding,Affiperf Peru,USD,559147,Active,,46830,11.0001,,11.0001,584,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,48957,0,0,10.0458,10.0458,10.0458,0.9544,0.0,0.0,0.0,0.9544,,,0.0,0.0,0.0,0.0,0.0,0.0,11.0001,11.0001,,11.0001,0,11.0001,11.0001,11.0001
Advertiser: HMLIM_Havasmedia_Claro,adv_834007197,HMLIM_Havasmedia_Claro,USD,834007197,Active,America/New_York,CLARO | PREPAGO | RECARGA 7 SOLES 5 DIAS - CLICS,52354000,424484586,Google Display & Video 360,2022-06-08,Unknown,CLARO_CLAP_RECARGA_CONS_TRF_DV360_10MAY22_31MAY22_7845_78454300943592002_82064300943592001,28471557,Active,RECARGA_VARSEG_CPC_NA_RECARGA_01JUN22_30JUN22_130544_CATEGORY,17243625488,,Real-time bidding,Affiperf Peru,USD,559147,Active,,67539,12.3777,,12.3777,683,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,75809,0,0,11.3038,11.3038,11.3038,1.0739,0.0,0.0,0.0,1.0739,,,0.0,0.0,0.0,0.0,0.0,0.0,12.3777,12.3777,,12.3777,0,12.3777,12.3777,12.3777
Advertiser: HMLIM_Havasmedia_Claro,adv_834007197,HMLIM_Havasmedia_Claro,USD,834007197,Active,America/New_York,CLARO | PREPAGO | RECARGA 7 SOLES 5 DIAS - CLICS,52354000,424481688,Google Display & Video 360,2022-06-08,Unknown,CLARO_CLAP_RECARGA_CONS_TRF_DV360_10MAY22_31MAY22_7845_78454300943592002_82064300943592001,28471557,Active,RECARGA_VARSEG_CPC_NA_RECARGA_01JUN22_30JUN22_130544_INMARKET,17230939560,,Real-time bidding,Affiperf Peru,USD,559147,Active,,32108,12.8069,,12.8069,566,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,33631,0,0,11.6958,11.6958,11.6958,1.1111,0.0,0.0,0.0,1.1111,,,0.0,0.0,0.0,0.0,0.0,0.0,12.8069,12.8069,,12.8069,0,12.8069,12.8069,12.8069
Advertiser: HMLIM_Havasmedia_Claro,adv_834007197,HMLIM_Havasmedia_Claro,USD,834007197,Active,America/New_York,CLARO | PREPAGO | RECARGA 7 SOLES 5 DIAS - CLICS,52354000,424484586,Google Display & Video 360,2022-06-08,Unknown,CLARO_CLAP_RECARGA_CONS_TRF_DV360_10MAY22_31MAY22_7845_78454300943592002_82064300943592001,28471557,Active,RECARGA_VARSEG_CPC_NA_RECARGA_01JUN22_30JUN22_130544_INMARKET,17230939560,,Real-time bidding,Affiperf Peru,USD,559147,Active,,77807,16.5984,,16.5984,946,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,88941,0,0,15.1583,15.1583,15.1583,1.44,0.0,0.0,0.0,1.44,,,0.0,0.0,0.0,0.0,0.0,0.0,16.5984,16.5984,,16.5984,0,16.5984,16.5984,16.5984
