account_status,account_id,account_name,campaign_id,campaign_name,campaign_budget_remaining,campaign_daily_budget,campaign_end_date,campaign_lifetime_budget,campaign_start_date,campaign_buying_type,campaign_configured_status,campaign_objective,campaign_spend_cap,campaign_status,currency,data_source_name,date,platform_position,publisher_platform,spend_cap,cost,cost_eur,cost_gbp,cost_usd,reach,store_visits_point_estimate
Active,3208640299265190,PE_Havas_ClaroPeru_3208640299265190,23850525985170009,CLARO_CLAN_CLARO NEGOCIOS AON_CONV_CONS_EQU_RCH_FBIGME_01JUN22_30JUN22_8176_81764300843599001,0.0,,2022-06-30,,2022-06-01,RESERVED,ACTIVE,REACH,,ACTIVE,USD,Facebook Ads,2022-06-08,video_feeds,facebook,0.0,20.85,19.4542,16.6281,20.85,64835,
Active,3208640299265190,PE_Havas_ClaroPeru_3208640299265190,23850533033380009,CLARO_CLAI_AON IMAGEN_EQU_RCH_FBME_01JUN22_30JUN22_8061_80614300843598002,0.0,,2022-06-12,,2022-06-01,AUCTION,ACTIVE,REACH,,ACTIVE,USD,Facebook Ads,2022-06-08,feed,facebook,0.0,30.2367,28.2125,24.1141,30.2367,96780,
Active,3208640299265190,PE_Havas_ClaroPeru_3208640299265190,23850533033380009,CLARO_CLAI_AON IMAGEN_EQU_RCH_FBME_01JUN22_30JUN22_8061_80614300843598002,0.0,,2022-06-12,,2022-06-01,AUCTION,ACTIVE,REACH,,ACTIVE,USD,Facebook Ads,2022-06-08,instream_video,facebook,0.0,0.01,0.0093,0.008,0.01,32,
Active,3208640299265190,PE_Havas_ClaroPeru_3208640299265190,23850533033380009,CLARO_CLAI_AON IMAGEN_EQU_RCH_FBME_01JUN22_30JUN22_8061_80614300843598002,0.0,,2022-06-12,,2022-06-01,AUCTION,ACTIVE,REACH,,ACTIVE,USD,Facebook Ads,2022-06-08,marketplace,facebook,0.0,1.1503,1.0732,0.9173,1.1503,2880,
Active,3208640299265190,PE_Havas_ClaroPeru_3208640299265190,23850533033380009,CLARO_CLAI_AON IMAGEN_EQU_RCH_FBME_01JUN22_30JUN22_8061_80614300843598002,0.0,,2022-06-12,,2022-06-01,AUCTION,ACTIVE,REACH,,ACTIVE,USD,Facebook Ads,2022-06-08,search,facebook,0.0,0.5201,0.4853,0.4148,0.5201,1888,
Active,3208640299265190,PE_Havas_ClaroPeru_3208640299265190,23850533033380009,CLARO_CLAI_AON IMAGEN_EQU_RCH_FBME_01JUN22_30JUN22_8061_80614300843598002,0.0,,2022-06-12,,2022-06-01,AUCTION,ACTIVE,REACH,,ACTIVE,USD,Facebook Ads,2022-06-08,video_feeds,facebook,0.0,13.2129,12.3284,10.5374,13.2129,44646,
Active,3208640299265190,PE_Havas_ClaroPeru_3208640299265190,23850533060590009,CLARO_CLAI_AON IMAGEN_EQU_RCH_IGME_01JUN22_30JUN22_8061_80614300843604002,0.0,,2022-06-12,,2022-06-01,AUCTION,ACTIVE,REACH,,ACTIVE,USD,Facebook Ads,2022-06-08,feed,instagram,0.0,42.9543,40.0786,34.2565,42.9543,79683,
Active,3208640299265190,PE_Havas_ClaroPeru_3208640299265190,23850533060590009,CLARO_CLAI_AON IMAGEN_EQU_RCH_IGME_01JUN22_30JUN22_8061_80614300843604002,0.0,,2022-06-12,,2022-06-01,AUCTION,ACTIVE,REACH,,ACTIVE,USD,Facebook Ads,2022-06-08,instagram_explore,instagram,0.0,4.9105,4.5818,3.9162,4.9105,9734,
Active,3208640299265190,PE_Havas_ClaroPeru_3208640299265190,23850533060590009,CLARO_CLAI_AON IMAGEN_EQU_RCH_IGME_01JUN22_30JUN22_8061_80614300843604002,0.0,,2022-06-12,,2022-06-01,AUCTION,ACTIVE,REACH,,ACTIVE,USD,Facebook Ads,2022-06-08,instagram_stories,instagram,0.0,52.2152,48.7196,41.6422,52.2152,132805,
Active,3208640299265190,PE_Havas_ClaroPeru_3208640299265190,23850533096840009,CLARO_CLAI_AON IMAGEN_EQU_RCH_FBME_01JUN22_30JUN22_8061_80614300843598001,0.0,,2022-06-08,,2022-06-01,AUCTION,ACTIVE,REACH,,ACTIVE,USD,Facebook Ads,2022-06-08,feed,facebook,0.0,20.1178,18.771,16.0441,20.1178,56513,
Active,3208640299265190,PE_Havas_ClaroPeru_3208640299265190,23850533096840009,CLARO_CLAI_AON IMAGEN_EQU_RCH_FBME_01JUN22_30JUN22_8061_80614300843598001,0.0,,2022-06-08,,2022-06-01,AUCTION,ACTIVE,REACH,,ACTIVE,USD,Facebook Ads,2022-06-08,instream_video,facebook,0.0,19.6678,18.3511,15.6853,19.6678,81601,
Active,3208640299265190,PE_Havas_ClaroPeru_3208640299265190,23850533096840009,CLARO_CLAI_AON IMAGEN_EQU_RCH_FBME_01JUN22_30JUN22_8061_80614300843598001,0.0,,2022-06-08,,2022-06-01,AUCTION,ACTIVE,REACH,,ACTIVE,USD,Facebook Ads,2022-06-08,marketplace,facebook,0.0,2.3697,2.2111,1.8899,2.3697,7552,
Active,3208640299265190,PE_Havas_ClaroPeru_3208640299265190,23850533096840009,CLARO_CLAI_AON IMAGEN_EQU_RCH_FBME_01JUN22_30JUN22_8061_80614300843598001,0.0,,2022-06-08,,2022-06-01,AUCTION,ACTIVE,REACH,,ACTIVE,USD,Facebook Ads,2022-06-08,search,facebook,0.0,0.3,0.2799,0.2392,0.3,832,
Active,3208640299265190,PE_Havas_ClaroPeru_3208640299265190,23850533096840009,CLARO_CLAI_AON IMAGEN_EQU_RCH_FBME_01JUN22_30JUN22_8061_80614300843598001,0.0,,2022-06-08,,2022-06-01,AUCTION,ACTIVE,REACH,,ACTIVE,USD,Facebook Ads,2022-06-08,video_feeds,facebook,0.0,47.6847,44.4924,38.0291,47.6847,145282,
Active,3208640299265190,PE_Havas_ClaroPeru_3208640299265190,23850546793120009,CLARO_CLAI_AON IMAGEN_EQU_RCH_IGME_01JUN22_30JUN22_8061_80614300843604001,0.0,,2022-06-10,,2022-06-02,AUCTION,ACTIVE,REACH,,ACTIVE,USD,Facebook Ads,2022-06-08,feed,instagram,0.0,133.6,124.6559,106.5474,133.6,269701,
Active,3208640299265190,PE_Havas_ClaroPeru_3208640299265190,23850546793120009,CLARO_CLAI_AON IMAGEN_EQU_RCH_IGME_01JUN22_30JUN22_8061_80614300843604001,0.0,,2022-06-10,,2022-06-02,AUCTION,ACTIVE,REACH,,ACTIVE,USD,Facebook Ads,2022-06-08,instagram_explore,instagram,0.0,16.78,15.6566,13.3822,16.78,37249,
Active,3208640299265190,PE_Havas_ClaroPeru_3208640299265190,23850546793120009,CLARO_CLAI_AON IMAGEN_EQU_RCH_IGME_01JUN22_30JUN22_8061_80614300843604001,0.0,,2022-06-10,,2022-06-02,AUCTION,ACTIVE,REACH,,ACTIVE,USD,Facebook Ads,2022-06-08,instagram_stories,instagram,0.0,198.77,185.463,158.5212,198.77,345990,
Active,3208640299265190,PE_Havas_ClaroPeru_3208640299265190,23846804101490009,CLARO_CLAG_UPSELL_CONV_CPT_FBIGME_25MAY21_31MAY22_1189_11894300743599001,90.74,230.0,2022-06-30,,2021-02-01,AUCTION,ACTIVE,CONVERSIONS,,ACTIVE,USD,Facebook Ads,2022-06-08,an_classic,audience_network,0.0,8.6892,8.1075,6.9298,8.6892,1760,
Active,3208640299265190,PE_Havas_ClaroPeru_3208640299265190,23846804101490009,CLARO_CLAG_UPSELL_CONV_CPT_FBIGME_25MAY21_31MAY22_1189_11894300743599001,90.74,230.0,2022-06-30,,2021-02-01,AUCTION,ACTIVE,CONVERSIONS,,ACTIVE,USD,Facebook Ads,2022-06-08,facebook_stories,facebook,0.0,14.1888,13.2389,11.3157,14.1888,4560,
Active,3208640299265190,PE_Havas_ClaroPeru_3208640299265190,23846804101490009,CLARO_CLAG_UPSELL_CONV_CPT_FBIGME_25MAY21_31MAY22_1189_11894300743599001,90.74,230.0,2022-06-30,,2021-02-01,AUCTION,ACTIVE,CONVERSIONS,,ACTIVE,USD,Facebook Ads,2022-06-08,feed,facebook,0.0,167.7152,156.4873,133.7547,167.7152,69796,
Active,3208640299265190,PE_Havas_ClaroPeru_3208640299265190,23846804101490009,CLARO_CLAG_UPSELL_CONV_CPT_FBIGME_25MAY21_31MAY22_1189_11894300743599001,90.74,230.0,2022-06-30,,2021-02-01,AUCTION,ACTIVE,CONVERSIONS,,ACTIVE,USD,Facebook Ads,2022-06-08,feed,instagram,0.0,4.9796,4.6462,3.9713,4.9796,1418,
Active,3208640299265190,PE_Havas_ClaroPeru_3208640299265190,23846804101490009,CLARO_CLAG_UPSELL_CONV_CPT_FBIGME_25MAY21_31MAY22_1189_11894300743599001,90.74,230.0,2022-06-30,,2021-02-01,AUCTION,ACTIVE,CONVERSIONS,,ACTIVE,USD,Facebook Ads,2022-06-08,instagram_explore,instagram,0.0,0.09,0.084,0.0718,0.09,47,
