account_name,ad_group_id,ad_group_name,ad_group_status,campaign_name,campaign_status,creative_quality_score,currency,data_source_name,date,keyword,keyword_destination_url,keyword_id,keyword_labels,keyword_status,match_type,network,network_with_search_partners,post_click_quality_score,account_id,quality_score,average_position,clicks,conversions,conversion_value,cost,cost_eur,cost_gbp,cost_usd,engagements,impressions,interactions,view_through_conversions
Tienda,134359926195,ACTIVA TU CHIP_BRAN_CPC_NA_CHIP POSTPAGO_01ENE21_31DIC21_123680,enabled,CLARO_CLAG_ACTIVA TU CHIP_CONS_TRF_SEARCH_01ENE21_31DIC21_4661_46614300943634004,enabled,Below average,USD,Google Ads,2022-04-19,chip internet ilimitado,,411111489767,,enabled,Phrase,Search Network,Google search,Average,9464343309,6,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0,0.0
Tienda,137708884932,Audifonos,enabled,CLARO_CLAG_ACCESORIOS_CONV_CON_SEARCH_01ENE21_31DIC21_4671_46714300743634001,enabled,Above average,USD,Google Ads,2022-04-19,galaxy buds,,300949504446,,enabled,Broad,Search Network,Google search,Average,9464343309,7,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,18,0,0.0
Tienda,137708884932,Audifonos,enabled,CLARO_CLAG_ACCESORIOS_CONV_CON_SEARCH_01ENE21_31DIC21_4671_46714300743634001,enabled,Above average,USD,Google Ads,2022-04-19,galaxy buds,,300949504446,,enabled,Broad,Search Network,Search partners,Average,9464343309,7,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0.0
Tienda,137708884932,Audifonos,enabled,CLARO_CLAG_ACCESORIOS_CONV_CON_SEARCH_01ENE21_31DIC21_4671_46714300743634001,enabled,Average,USD,Google Ads,2022-04-19,audifonos a bluetooth,,295911041486,,enabled,Broad,Search Network,Google search,Average,9464343309,6,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0,0.0
Tienda,137708884932,Audifonos,enabled,CLARO_CLAG_ACCESORIOS_CONV_CON_SEARCH_01ENE21_31DIC21_4671_46714300743634001,enabled,Average,USD,Google Ads,2022-04-19,audifonos inalambricos,,296117983,,enabled,Broad,Search Network,Search partners,Average,9464343309,6,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,0.0
Tienda,137708884932,Audifonos,enabled,CLARO_CLAG_ACCESORIOS_CONV_CON_SEARCH_01ENE21_31DIC21_4671_46714300743634001,enabled,Average,USD,Google Ads,2022-04-19,audifonos inalambricos precio,,303742967928,,enabled,Broad,Search Network,Search partners,Average,9464343309,7,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0.0
Tienda,137708884932,Audifonos,enabled,CLARO_CLAG_ACCESORIOS_CONV_CON_SEARCH_01ENE21_31DIC21_4671_46714300743634001,enabled,Average,USD,Google Ads,2022-04-19,huawei buds,,440365874280,,enabled,Broad,Search Network,Google search,Average,9464343309,6,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0,0.0
Tienda,137708884932,Audifonos,enabled,CLARO_CLAG_ACCESORIOS_CONV_CON_SEARCH_01ENE21_31DIC21_4671_46714300743634001,enabled,Below average,USD,Google Ads,2022-04-19,audifonos inalambricos comprar,,437382880537,,enabled,Broad,Search Network,Google search,Average,9464343309,5,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,35,0,0.0
Tienda,137708884932,Audifonos,enabled,CLARO_CLAG_ACCESORIOS_CONV_CON_SEARCH_01ENE21_31DIC21_4671_46714300743634001,enabled,Below average,USD,Google Ads,2022-04-19,audifonos inalambricos comprar,,437382880537,,enabled,Broad,Search Network,Search partners,Average,9464343309,5,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,5,0,0.0
Tienda,137708884932,Audifonos,enabled,CLARO_CLAG_ACCESORIOS_CONV_CON_SEARCH_01ENE21_31DIC21_4671_46714300743634001,enabled,Below average,USD,Google Ads,2022-04-19,audifonos inalambricos samsung,,362063271557,,enabled,Broad,Search Network,Google search,Average,9464343309,6,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,0.0
