account_name,advertising_channel_sub_type,advertising_channel_type,bidding_strategy,bidding_strategy_id,bidding_strategy_type,campaign_id,campaign_labels,campaign_name,campaign_status,currency,data_source_name,date,account_id,daily_budget,clicks,conversions,conversion_value,cost,cost_eur,cost_gbp,cost_usd,engagements,impressions,impression_share,interactions,search_absolute_top_impression_share,search_budget_lost_impression_share,search_exact_match_impression_share,search_impression_share,search_rank_lost_top_impression_share,search_top_impression_share,top_impression_percentage,total_budget,available_impressions,video_impressions,video_views,view_through_conversions
Tienda,,Display,,,Maximize Conversions,15641371344,,CLARO_CLAT_REMARKETING_RESPONSIVE DINAMICO TIENDACLARO MOTOROLA_CONV_CON_DISME_22DIC21_31DIC21_2250_22504300743591001_tvirtual,enabled,USD,Google Ads,2022-04-19,9464343309,7.0,36,0.0,0.0,1.6489,1.5293,1.2675,1.6489,0,2662,,36,0.0,,,,0.0,0.0,0.0,,0,,0,0.0
Tienda,,Display,,,Maximize clicks,15643404136,,CLARO_CLAN_TIENDA NEGOCIOS_CONS_TRF_DISME_01OCT21_31DIC22_6454_64544300943591001- MIGRACION NEGOCIOS,enabled,USD,Google Ads,2022-04-19,9464343309,47.85,1070,0.0,0.0,10.7,9.9241,8.2248,10.7,0,23060,,1070,0.0,,,,0.0,0.0,0.0,,0,,0,0.0
Tienda,Smart Display Campaign,Display,,,Maximize Conversions,15636803733,,CLARO_CLAT_RESPONSIVE DINAMICO_CONV_CON_DISME_01AGO21_31DIC21_2250_22504300743591001_tvirtual - Migracion Trafico,enabled,USD,Google Ads,2022-04-19,9464343309,325.0,5938,3.8,0.0,132.4113,122.8101,101.7805,132.4113,0,560228,,5938,0.0,,,,0.0,0.0,0.0,,0,,0,0.0
Tienda,Smart Display Campaign,Display,,,Maximize Conversions,15793723163,,CLARO_CLAT_RESPONSIVE DINAMICO_CONV_CON_DISME_01AGO21_31ENE22_2250_22504300743591001_tvirtual - COMPRA,enabled,USD,Google Ads,2022-04-19,9464343309,23.0,57,0.0,0.0,4.1928,3.8887,3.2228,4.1928,0,8643,,57,0.0,,,,0.0,0.0,0.0,,0,,0,0.0
Fijos,,Unknown,,,Maximize Conversions,15591286753,,CLARO_CLAH_B2S I _CONV_CON_DISME_09AGO21_31AGO21_2291_22914300743591001_FIJOS MIGRACION,enabled,USD,Google Ads,2022-04-19,5130185605,500.0,312,0.0,0.0,265.9866,246.6999,204.4558,265.9866,4296,39130,,4404,0.0,,,,0.0,0.0,0.0,,0,,0,0.0
Postpago,,Unknown,,,Maximize Conversions,15759516446,,CLARO_CLAG_UN BUEN PLAN _CONS_TRF_DISME_01ENE22_22ENE22_5493_54934300943591001,enabled,USD,Google Ads,2022-04-19,5877113422,240.0,46,0.0,0.0,6.71,6.2235,5.1578,6.71,1,1002,,47,0.0,,,,0.0,0.0,0.0,,0,,0,0.0
Tienda,,Unknown,,,Maximize Conversions,15636808290,,CLARO_CLAT_TVIRTUAL CONVERSIONES_CONV_CON_DISME_01FEB21_31OCT21_3574_35744300743591001 - Migracion Trafico,enabled,USD,Google Ads,2022-04-19,9464343309,230.0,156,1.0,0.0,42.7977,39.6944,32.8973,42.7977,651,5630,,690,0.0,,,,0.0,0.0,0.0,,0,,0,0.0
Tienda,,Unknown,,,Maximize Conversions,15640104205,,CLARO_CLAT_TVIRTUAL CONVERSIONES_CONV_CON_DISME_01AGO21_31AGO21_2219_22194300743591001 - Migracion Trafico,enabled,USD,Google Ads,2022-04-19,9464343309,165.0,85,3.0,1200.0,56.3836,52.2952,43.3403,56.3836,246,2976,,252,0.0,,,,0.0,0.0,0.0,,0,,0,0.0
Tienda,,Unknown,,,Maximize Conversions,15640204206,,CLARO_CLAN_TIENDA NEGOCIOS_CONS_CON_DISME_01JUL21_31DIC22_6454_ 64544300743591001_DISCOVERY #2,enabled,USD,Google Ads,2022-04-19,9464343309,32.87,580,0.0,0.0,44.4545,41.2311,34.1708,44.4545,19,75586,,598,0.0,,,,0.0,0.0,0.0,,0,,0,0.0
Tienda,,Unknown,,,Maximize Conversions,16954841973,,CLARO_CLAT_CYBER WOW_CONS_EQU_TRF_DISME_16ABR22_22ABR22_7126_71264300943591001,enabled,USD,Google Ads,2022-04-19,9464343309,300.0,12,0.0,0.0,3.758,3.4855,2.8887,3.758,85,1377,,86,0.0,,,,0.0,0.0,0.0,,0,,0,0.0
Tienda,Smart Shopping,Shopping,,,Maximize Conversion Value,15701784625,,CLARO_CLAT_SMART SHOPPING TIENDA_CONV_CON_SHOPP_13JUL21_31DIC21_1868_18684300746687001 tvirtual - MIGRACION,enabled,USD,Google Ads,2022-04-19,9464343309,1500.0,8071,1.24,497.36,377.4925,350.1204,290.167,377.4925,0,432875,,8071,0.0,,,,0.0,0.0,0.0,,0,,0,0.0
Fijos,,Performance Max,,,Maximize Conversions,15705932348,,CLARO_CLAH_B2S I_CONV_CON_DISME_28DIC21_31DIC21_5386_53864300743591001_ PRUEBA MAX PERFORMANCE TVirtual,enabled,USD,Google Ads,2022-04-19,5130185605,1500.0,2682,3.02,94.1,274.7374,254.8161,211.1823,274.7374,1130,71535,,3798,0.0,,,,0.0,0.0,0.0,,0,2964,910,0.0
Tienda,,Performance Max,,,Maximize Conversions,15781961698,,CLARO_CLAT_CLARO MAX_CONV_CON_DISME_19ENE22_31MAR22_5770_57704300743599001 Tvirtual,enabled,USD,Google Ads,2022-04-19,9464343309,800.0,2056,0.0,0.0,132.4266,122.8243,101.7923,132.4266,35,107406,,2091,0.0,,,,0.0,0.0,0.0,,0,93,33,0.0
Tienda,,Performance Max,,,Maximize Conversions,15900092547,,CLARO_CLAT_CLARO MAX_CONV_CON_FBIGME_17ENE22_31MAR22_5751_57514300743599001 Tvirtual,enabled,USD,Google Ads,2022-04-19,9464343309,211.0,689,0.0,0.0,43.1375,40.0095,33.1585,43.1375,435,8125,,1064,0.0,,,,0.0,0.0,0.0,,0,1660,380,0.0
Tienda,,Performance Max,,,Maximize Conversions,16861692690,,CLARO_CLAN_TIENDA NEGOCIOS_CONS_CON_DISME_08ABR22_31DIC22_6454_PERFORMANCE MAX,enabled,USD,Google Ads,2022-04-19,9464343309,147.6,1645,0.0,0.0,61.8875,57.4,47.571,61.8875,793,68492,,2335,0.0,,,,0.0,0.0,0.0,,0,6269,531,0.0
Imagen,App campaign,Multi Channel,,,Maximize Conversions,15692615938,,CLARO_CCLB_CLARO CLUB BRANDING_EQU_CONV_API_DISME_01ABR22_30ABR22_6930_69304300743591001,enabled,USD,Google Ads,2022-04-19,7465087050,366.0,580,171.0,0.0,29.8177,27.6556,22.9199,29.8177,0,18777,,580,,,,,0.0,,0.98,,0,,0,3.0
Imagen,,Video,,,Target CPM,16884608593,,CLARO_CLAI_CAMPAÑA TESTIMONIALES_EQU_RCH_YTME_16ABR22_15MAY22_6965_69654300843677003,enabled,USD,Google Ads,2022-04-19,7465087050,,410,5.0,0.0,168.2508,156.0509,129.3293,168.2508,85967,211335,,85967,0.0,,,,0.0,0.0,0.0,18770.0,0,211366,42548,15.0
