currency,account_id,account_name,account_total_budget,campaign_cost_type,campaign_daily_budget,campaign_end_date,campaign_group_end_date,campaign_group_id,campaign_group_name,campaign_group_start_date,campaign_group_status,campaign_group_total_budget,campaign_id,campaign_name,campaign_objective,campaign_optimization_target_type,campaign_start_date,campaign_status,campaign_total_budget,campaign_type,campaign_unit_cost,data_source_name,date,clicks,conversions,conversion_value,impressions,lead_form_opens,leads,cost_per_lead,cost,cost_eur,cost_gbp,cost_usd,viral_lead_form_opens,viral_leads
USD,506730622,ag_claronegociosperu_cis_2020_pe,,CPM,,2022-07-01,,608374054,Default Campaign Group,2020-04-08,ACTIVE,,184629896,CLARO_CLAROEMPRESAS_CLARO EMPRESAS AON_EQU_RCH_LKDME_01FEB22_31DIC22_6505_ 65054300843611001_JUNIO,BRAND_AWARENESS,MAX_IMPRESSION,2022-06-01,ACTIVE,4211.23,SPONSORED_UPDATES,10.57,LinkedIn Ads,2022-06-08,83,0,0.0,35762,0,0,,159.404,148.7325,127.1266,159.404,0,0
USD,506730622,ag_claronegociosperu_cis_2020_pe,,CPM,,2022-07-01,,608374054,Default Campaign Group,2020-04-08,ACTIVE,,184631046,CLARO_CLAROEMPRESAS_CLARO EMPRESAS AON_EQU_VVW_LKDME_01FEB22_31DIC22_6505_ 65054300943611001_JUNIO,VIDEO_VIEW,MAX_VIDEO_VIEW,2022-06-01,ACTIVE,3810.16,SPONSORED_UPDATES,0.05,LinkedIn Ads,2022-06-08,43,0,0.0,19696,0,0,,143.6851,134.0659,114.5906,143.6851,0,0
